Advertising Agencies,ADV,,
Aerospace & Defense,AER,DEF,
Agricultural Inputs,AGR,,
Airlines,AER,TRA,TOU
Airports & Air Services,AER,TRA,TOU
Aluminum,NAT,,
Apparel Manufacturing,APP,,
Apparel Retail,APP,,
Asset Management,FIN,,
Auto & Truck Dealerships,AUT,,
Auto Manufacturers,AUT,,
Auto Parts,AUT,,
Banks - Diversified,BAN,FIN,
Banks - Regional,BAN,FIN,
Beverages - Brewers,BEV,,
Beverages - Non-Alcoholic,BEV,,
Beverages - Wineries & Distilleries,BEV,,
Biotechnology,MED,PHA,SCI
Broadcasting,COM,TEC,
Building Materials,HOU,RES,URB
Building Products & Equipment,HOU,RES,URB
Business Equipment & Supplies,,,
Capital Markets,FIN,,
Chemicals,CHM,,
Coking Coal,MAN,NAT,
Communication Equipment,COM,TEC,
Computer Hardware,CPI,,
Confectioners,FOO,,
Conglomerates,,,
Consulting Services,,,
Consumer Electronics,CPI,,
Copper,NAT,,
Credit Services,BAN,FIN,
Department Stores,APP,,
Diagnostics & Research,SCI,,
Discount Stores,APP,,
Drug Manufacturers - General,PHA,,
Drug Manufacturers - Specialty & Generic,PHA,,
Education & Training Services,EDU,,
Electrical Equipment & Parts,,,
Electronic Components,,,
Electronic Gaming & Multimedia,ART,,
Electronics & Computer Distribution,CPI,,
Engineering & Construction,HOU,MAN,
Entertainment,ART,,
Farm & Heavy Construction Machinery,AGR,,
Farm Products,AGR,,
Financial Conglomerates,FIN,,
Financial Data & Stock Exchanges,FIN,,
Food Distribution,FOO,,
Footwear & Accessories,APP,,
Furnishings & Fixtures & Appliances,,,
Gambling,GAM,,
Gold,MON,NAT,
Grocery Stores,BEV,FOO,
Health Information Services,HCR,,
Healthcare Plans,HCR,MMM,
Home Improvement Retail,,,
Household & Personal Products,,,
Industrial Distribution,,,
Information Technology Services,CPI,,
Infrastructure Operations,,,
Insurance - Diversified,INS,,
Insurance - Life,INS,,
Insurance - Property & Casualty,INS,,
Insurance - Reinsurance,INS,,
Insurance - Specialty,INS,,
Insurance Brokers,INS,,
Integrated Freight & Logistics,TRA,TRU,
Internet Content & Information,COM,MIA,
Internet Retail,,,
Leisure,,,
Lodging,HOU,TOU,
Lumber & Wood Production,NAT,,
Luxury Goods,APP,,
Marine Shipping,MAR,TRU,
Medical Care Facilities,HCR,,
Medical Devices,HCR,,
Medical Distribution,HCR,PHA,
Medical Instruments & Supplies,HCR,,
Metal Fabrication,MAN,,
Mortgage Finance,FIN,RES,
Not Found,,,
Oil & Gas Drilling,ENG,FUE,
Oil & Gas E&P,ENG,FUE,
Oil & Gas Equipment & Services,ENG,FUE,
Oil & Gas Integrated,ENG,FUE,
Oil & Gas Midstream,ENG,FUE,
Oil & Gas Refining & Marketing,ENG,FUE,
Other Industrial Metals & Mining,NAT,,
Other Precious Metals & Mining,NAT,,
Packaged Foods,FOO,,
Packaging & Containers,BEV,FOO,
Paper & Paper Products,,,
Personal Services,,,
Pharmaceutical Retailers,PHA,,
Pollution & Treatment Controls,WAS,,
Publishing,ART,,
REIT - Diversified,RES,,
REIT - Healthcare Facilities,HCR,RES,
REIT - Hotel & Motel,RES,TOU,
REIT - Industrial,RES,,
REIT - Mortgage,RES,,
REIT - Office,RES,,
REIT - Residential,HOU,RES,
REIT - Retail,RES,SMB,
REIT - Specialty,RES,,
Railroads,RRR,,
Real Estate - Development,RES,,
Real Estate - Diversified,RES,,
Real Estate Services,RES,,
Recreational Vehicles,AUT,,
Rental & Leasing Services,,,
Residential Construction,RES,URB,
Resorts & Casinos,GAM,TOU,
Restaurants,FOO,SMB,
Scientific & Technical Instruments,SCI,,
Security & Protection Services,,,
Semiconductor Equipment & Materials,,,
Semiconductors,,,
Shell Companies,,,
Silver,NAT,,
Software - Application,CPI,,
Software - Infrastructure,CPI,,
Solar,ENG,,
Specialty Business Services,,,
Specialty Chemicals,CHM,,
Specialty Industrial Machinery,MAN,,
Specialty Retail,,,
Staffing & Employment Services,LBR,,
Steel,MAN,NAT,
Telecom Services,TEC,,
Textile Manufacturing,APP,MAN,
Thermal Coal,ENG,MAN,NAT
Tobacco,TOB,,
Tools & Accessories,,,
Travel Services,TRA,TOU,
Trucking,TRU,,
Uranium,ENG,NAT,WAS
Utilities - Diversified,UTI,,
Utilities - Independent Power Producers,UTI,,
Utilities - Regulated Electric,UTI,ENG,
Utilities - Regulated Gas,UTI,ENG,FUE
Utilities - Regulated Water,UTI,,
Utilities - Renewable,UTI,,
Waste Management,WAS,,